restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,protein_efficiency
Mcdonalds,Artisan Grilled Chicken Sandwich,380.0,60.0,7.0,2.0,0.0,95.0,1110.0,44.0,3.0,11.0,37.0,4.0,20.0,20.0,9.736842105263158
Mcdonalds,Single Bacon Smokehouse Burger,840.0,410.0,45.0,17.0,1.5,130.0,1580.0,62.0,2.0,18.0,46.0,6.0,20.0,20.0,5.476190476190476
Mcdonalds,Double Bacon Smokehouse Burger,1130.0,600.0,67.0,27.0,3.0,220.0,1920.0,63.0,3.0,18.0,70.0,10.0,20.0,50.0,6.1946902654867255
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750.0,280.0,31.0,10.0,0.5,155.0,1940.0,62.0,2.0,18.0,55.0,6.0,25.0,20.0,7.333333333333333
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920.0,410.0,45.0,12.0,0.5,120.0,1980.0,81.0,4.0,18.0,46.0,6.0,20.0,20.0,5.0
Mcdonalds,Big Mac,540.0,250.0,28.0,10.0,1.0,80.0,950.0,46.0,3.0,9.0,25.0,10.0,2.0,15.0,4.62962962962963
Mcdonalds,Cheeseburger,300.0,100.0,12.0,5.0,0.5,40.0,680.0,33.0,2.0,7.0,15.0,10.0,2.0,10.0,5.0
Mcdonalds,Classic Chicken Sandwich,510.0,210.0,24.0,4.0,0.0,65.0,1040.0,49.0,3.0,6.0,25.0,0.0,4.0,2.0,4.901960784313726
Mcdonalds,Double Cheeseburger,430.0,190.0,21.0,11.0,1.0,85.0,1040.0,35.0,2.0,7.0,25.0,20.0,4.0,15.0,5.813953488372093
Mcdonalds,Double Quarter Pounder® with Cheese,770.0,400.0,45.0,21.0,2.5,175.0,1290.0,42.0,3.0,10.0,51.0,20.0,6.0,20.0,6.623376623376623
Mcdonalds,Filet-O-Fish®,380.0,170.0,18.0,4.0,0.0,40.0,640.0,38.0,2.0,5.0,15.0,2.0,0.0,15.0,3.9473684210526314
Mcdonalds,Garlic White Cheddar Burger,620.0,300.0,34.0,13.0,1.5,95.0,790.0,48.0,3.0,11.0,32.0,10.0,10.0,35.0,5.161290322580645
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530.0,180.0,20.0,7.0,0.0,125.0,1150.0,48.0,3.0,11.0,42.0,10.0,20.0,35.0,7.9245283018867925
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700.0,300.0,34.0,9.0,0.0,85.0,1190.0,67.0,5.0,11.0,33.0,10.0,15.0,35.0,4.714285714285714
Mcdonalds,Hamburger,250.0,70.0,8.0,3.0,0.0,30.0,480.0,31.0,2.0,6.0,13.0,2.0,2.0,4.0,5.2
Mcdonalds,Lobster Roll,290.0,50.0,5.0,1.5,0.0,65.0,630.0,35.0,2.0,3.0,24.0,4.0,6.0,15.0,8.275862068965518
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640.0,330.0,36.0,14.0,1.5,110.0,1260.0,40.0,3.0,10.0,37.0,6.0,15.0,15.0,5.78125
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580.0,190.0,21.0,8.0,0.0,135.0,1890.0,50.0,3.0,14.0,48.0,4.0,30.0,30.0,8.275862068965518
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740.0,310.0,35.0,9.0,0.5,95.0,1780.0,69.0,5.0,14.0,39.0,4.0,20.0,290.0,5.27027027027027
Mcdonalds,McChicken,350.0,130.0,15.0,3.5,0.0,40.0,600.0,40.0,2.0,5.0,15.0,2.0,2.0,4.0,4.285714285714286
Mcdonalds,McDouble,380.0,160.0,18.0,8.0,1.0,70.0,840.0,34.0,2.0,7.0,23.0,10.0,2.0,10.0,6.052631578947368
Mcdonalds,McRib,480.0,200.0,22.0,7.0,0.0,80.0,870.0,45.0,2.0,12.0,25.0,2.0,2.0,6.0,5.208333333333334
Mcdonalds,Pico Guacamole 1/4 lb Burger,580.0,300.0,33.0,12.0,1.5,95.0,920.0,41.0,4.0,7.0,29.0,8.0,15.0,15.0,5.0
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520.0,160.0,18.0,6.0,0.0,115.0,1540.0,50.0,4.0,12.0,40.0,8.0,25.0,30.0,7.6923076923076925
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680.0,280.0,32.0,7.0,0.0,80.0,1430.0,69.0,6.0,12.0,31.0,8.0,15.0,30.0,4.5588235294117645
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570.0,200.0,23.0,5.0,0.0,60.0,1050.0,64.0,4.0,11.0,28.0,4.0,10.0,20.0,4.912280701754386
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530.0,200.0,22.0,4.0,0.0,45.0,1000.0,59.0,3.0,13.0,25.0,6.0,10.0,20.0,4.716981132075472
Mcdonalds,Quarter Pounder® with Cheese,530.0,240.0,27.0,13.0,1.5,100.0,1090.0,41.0,3.0,10.0,31.0,20.0,6.0,15.0,5.849056603773585
Mcdonalds,Signature Sriracha Burger,670.0,320.0,35.0,12.0,1.5,95.0,1010.0,56.0,4.0,13.0,32.0,20.0,15.0,30.0,4.776119402985075
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560.0,180.0,20.0,5.0,0.0,115.0,1550.0,56.0,4.0,14.0,41.0,20.0,25.0,30.0,7.321428571428572
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730.0,300.0,33.0,7.0,0.0,80.0,1430.0,75.0,5.0,13.0,32.0,20.0,20.0,30.0,4.383561643835616
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690.0,340.0,37.0,14.0,1.5,110.0,1310.0,51.0,3.0,14.0,38.0,6.0,15.0,15.0,5.507246376811594
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630.0,200.0,22.0,7.0,0.0,135.0,1930.0,61.0,4.0,18.0,48.0,4.0,30.0,25.0,7.6190476190476195
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800.0,320.0,36.0,9.0,0.5,95.0,1820.0,80.0,5.0,18.0,39.0,4.0,20.0,30.0,4.875
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370.0,190.0,21.0,3.5,0.0,70.0,910.0,16.0,0.0,0.0,28.0,0.0,0.0,2.0,7.567567567567568
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480.0,250.0,28.0,4.5,0.0,95.0,1290.0,21.0,0.0,1.0,38.0,0.0,0.0,2.0,7.916666666666666
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760.0,390.0,44.0,8.0,0.5,145.0,1890.0,32.0,1.0,1.0,58.0,0.0,0.0,2.0,7.631578947368421
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210.0,630.0,70.0,12.0,1.0,240.0,3230.0,52.0,1.0,4.0,94.0,0.0,0.0,4.0,7.768595041322314
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510.0,790.0,88.0,15.0,1.0,295.0,3770.0,64.0,1.0,2.0,115.0,0.0,2.0,6.0,7.6158940397351
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430.0,1270.0,141.0,24.0,2.0,475.0,6080.0,103.0,2.0,3.0,186.0,0.0,2.0,8.0,7.654320987654321
Mcdonalds,4 Piece Chicken McNuggets,180.0,100.0,11.0,2.0,0.0,30.0,340.0,11.0,1.0,0.0,10.0,0.0,2.0,0.0,5.555555555555555
Mcdonalds,6 Piece Chicken McNuggets,270.0,140.0,16.0,2.5,0.0,45.0,510.0,16.0,1.0,0.0,15.0,0.0,2.0,0.0,5.555555555555555
Mcdonalds,10 Piece Chicken McNuggets,440.0,240.0,27.0,4.5,0.0,75.0,840.0,26.0,2.0,0.0,24.0,0.0,4.0,2.0,5.454545454545454
Mcdonalds,20 Piece Chicken McNuggets,890.0,480.0,53.0,9.0,0.0,145.0,1680.0,53.0,4.0,0.0,49.0,0.0,8.0,4.0,5.50561797752809
Mcdonalds,40 piece Chicken McNuggets,1770.0,960.0,107.0,18.0,0.5,295.0,3370.0,105.0,7.0,1.0,98.0,0.0,15.0,6.0,5.536723163841808
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640.0,240.0,27.0,4.0,0.0,105.0,1780.0,63.0,2.0,35.0,39.0,4.0,15.0,4.0,6.09375
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960.0,360.0,40.0,6.0,0.0,160.0,2670.0,94.0,3.0,52.0,58.0,4.0,25.0,8.0,6.041666666666667
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600.0,600.0,66.0,10.0,0.0,265.0,4450.0,156.0,5.0,87.0,97.0,8.0,40.0,10.0,6.0625
Mcdonalds,Premium Asian Salad w/o Chicken,140.0,70.0,7.0,0.5,0.0,0.0,20.0,13.0,5.0,7.0,7.0,180.0,45.0,10.0,5.0
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270.0,80.0,9.0,1.0,0.0,80.0,740.0,18.0,5.0,10.0,31.0,180.0,70.0,10.0,11.481481481481481
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490.0,250.0,28.0,8.0,0.0,95.0,1120.0,28.0,4.0,4.0,33.0,180.0,60.0,15.0,6.73469387755102
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190.0,110.0,12.0,5.0,0.0,40.0,660.0,9.0,3.0,3.0,14.0,180.0,50.0,15.0,7.368421052631578
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320.0,120.0,14.0,6.0,0.0,45.0,1230.0,9.0,3.0,4.0,42.0,180.0,60.0,15.0,13.125
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490.0,250.0,28.0,8.0,0.0,95.0,1120.0,28.0,4.0,4.0,33.0,180.0,60.0,15.0,6.73469387755102
Mcdonalds,Premium Southwest Salad w/o Chicken,220.0,90.0,10.0,3.5,0.0,15.0,500.0,26.0,6.0,9.0,8.0,180.0,40.0,20.0,3.6363636363636362
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,350.0,100.0,12.0,4.5,0.0,110.0,1070.0,27.0,6.0,9.0,37.0,180.0,50.0,20.0,10.571428571428571
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,520.0,230.0,25.0,6.0,0.0,75.0,960.0,46.0,8.0,9.0,28.0,180.0,40.0,20.0,5.384615384615385
Chick Fil-A,Chargrilled Chicken Club Sandwich,430.0,144.0,16.0,8.0,0.0,85.0,1120.0,37.0,3.0,7.0,37.0,30.0,40.0,25.0,8.604651162790699
Chick Fil-A,Chargrilled Chicken Sandwich,310.0,54.0,6.0,2.0,0.0,55.0,820.0,36.0,3.0,7.0,29.0,25.0,40.0,10.0,9.35483870967742
Chick Fil-A,Chick-n-Slider,270.0,99.0,11.0,2.5,0.0,45.0,800.0,26.0,1.0,4.0,16.0,0.0,0.0,2.0,5.9259259259259265
Chick Fil-A,1 Piece Chick-n-Strips,120.0,54.0,6.0,3.0,0.0,25.0,320.0,6.0,0.0,1.0,11.0,0.0,0.0,2.0,9.166666666666666
Chick Fil-A,2 Piece Chick-n-Strips,230.0,108.0,12.0,3.0,0.0,55.0,630.0,13.0,1.0,1.0,22.0,0.0,2.0,4.0,9.565217391304348
Chick Fil-A,3 Piece Chick-n-Strips,350.0,153.0,17.0,3.0,0.0,70.0,940.0,22.0,1.0,3.0,28.0,2.0,2.0,6.0,8.0
Chick Fil-A,4 piece Chick-n-Strips,470.0,207.0,23.0,3.0,0.0,90.0,1250.0,29.0,1.0,4.0,37.0,2.0,4.0,8.0,7.872340425531915
Chick Fil-A,Chicken Deluxe,500.0,207.0,23.0,7.0,0.0,75.0,1590.0,42.0,3.0,6.0,31.0,30.0,10.0,20.0,6.2
Chick Fil-A,4 piece Chicken Nuggets,130.0,54.0,6.0,1.5,0.0,40.0,490.0,5.0,1.0,0.0,14.0,0.0,2.0,2.0,10.76923076923077
Chick Fil-A,6 piece Chicken Nuggets,190.0,81.0,9.0,1.5,0.0,55.0,730.0,7.0,1.0,0.0,21.0,0.0,4.0,2.0,11.052631578947368
Chick Fil-A,8 piece Chicken Nuggets,260.0,110.0,12.0,3.0,0.0,70.0,990.0,9.0,1.0,1.0,28.0,0.0,2.0,4.0,10.76923076923077
Chick Fil-A,12 piece Chicken Nuggets,390.0,162.0,18.0,1.5,0.0,115.0,1460.0,14.0,2.0,1.0,41.0,0.0,8.0,4.0,10.512820512820513
Chick Fil-A,30 piece Chicken Nuggets,970.0,414.0,46.0,2.5,0.0,285.0,3660.0,35.0,4.0,1.0,103.0,0.0,20.0,10.0,10.618556701030927
Chick Fil-A,Chicken Salad Sandwich,490.0,170.0,19.0,3.0,0.0,80.0,1130.0,55.0,5.0,12.0,28.0,35.0,8.0,15.0,5.714285714285714
Chick Fil-A,Chicken Sandwich,440.0,171.0,19.0,4.0,0.0,60.0,1350.0,40.0,2.0,5.0,28.0,2.0,4.0,15.0,6.363636363636363
Chick Fil-A,4 Piece Grilled Chicken Nuggets,70.0,18.0,2.0,1.0,0.0,35.0,220.0,1.0,0.0,0.0,13.0,0.0,6.0,0.0,18.571428571428573
Chick Fil-A,6 Piece Grilled Chicken Nuggets,110.0,27.0,3.0,1.0,0.0,50.0,330.0,2.0,0.0,0.0,19.0,0.0,8.0,0.0,17.272727272727273
Chick Fil-A,8 piece Grilled Chicken Nuggets,140.0,36.0,4.0,1.0,0.0,70.0,440.0,2.0,0.0,0.0,25.0,0.0,10.0,2.0,17.857142857142858
Chick Fil-A,12 Piece Grilled Chicken Nuggets,210.0,45.0,5.0,1.0,0.0,100.0,670.0,3.0,0.0,1.0,38.0,0.0,20.0,2.0,18.095238095238095
Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,430.0,108.0,12.0,4.5,0.0,85.0,1310.0,47.0,5.0,9.0,33.0,0.0,25.0,25.0,7.674418604651163
Chick Fil-A,Regular Grilled Chicken Sub Sandwich,450.0,117.0,13.0,6.0,0.0,75.0,1000.0,48.0,4.0,10.0,34.0,0.0,50.0,25.0,7.555555555555555
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,500.0,162.0,18.0,0.0,0.0,95.0,1200.0,46.0,2.0,10.0,33.0,45.0,40.0,20.0,6.6000000000000005
Chick Fil-A,Spicy Chicken Sandwich,450.0,171.0,19.0,4.0,0.0,60.0,1620.0,41.0,1.0,5.0,29.0,4.0,2.0,15.0,6.444444444444445
Chick Fil-A,Spicy Deluxe,540.0,225.0,25.0,8.0,0.0,80.0,1760.0,43.0,2.0,6.0,34.0,30.0,10.0,30.0,6.296296296296296
Chick Fil-A,Chargrilled Chicken Cool Wrap,350.0,126.0,14.0,5.0,0.0,60.0,960.0,29.0,15.0,3.0,37.0,60.0,35.0,35.0,10.571428571428571
Sonic,Hatch Green Chile Cheeseburger,710.0,380.0,43.0,17.0,2.0,120.0,1120.0,44.0,2.0,7.0,35.0,10.0,25.0,30.0,4.929577464788732
Sonic,Jalapeno Burger,640.0,330.0,37.0,14.0,2.0,100.0,930.0,42.0,2.0,6.0,31.0,4.0,2.0,20.0,4.84375
Sonic,Jr. Burger,340.0,150.0,17.0,6.0,1.0,35.0,640.0,34.0,1.0,6.0,15.0,2.0,4.0,6.0,4.411764705882353
Sonic,Jr. Chili Cheeseburger,410.0,220.0,24.0,9.0,0.5,55.0,730.0,32.0,1.0,4.0,20.0,7.0,1.0,15.0,4.878048780487805
Sonic,Jr. Deluxe Burger,380.0,200.0,23.0,6.0,1.0,40.0,470.0,32.0,1.0,4.0,15.0,2.0,4.0,6.0,3.9473684210526314
Sonic,Jr. Deluxe Cheeseburger,450.0,250.0,28.0,9.0,1.0,60.0,800.0,33.0,1.0,4.0,19.0,6.0,4.0,15.0,4.222222222222222
Sonic,Jr. Double Cheeseburger,600.0,350.0,38.0,16.0,2.0,110.0,1350.0,35.0,1.0,7.0,31.0,15.0,4.0,25.0,5.166666666666667
Sonic,Sonic Bacon Cheeseburger (w/mayo),870.0,530.0,59.0,20.0,2.0,140.0,1350.0,45.0,2.0,7.0,39.0,10.0,8.0,30.0,4.482758620689655
Sonic,Sonic Burger W/ Mustard,640.0,330.0,37.0,14.0,2.0,100.0,790.0,43.0,2.0,7.0,31.0,6.0,8.0,20.0,4.84375
Sonic,Sonic Burger W/ Ketchup,650.0,340.0,37.0,14.0,2.0,100.0,860.0,46.0,2.0,10.0,32.0,8.0,10.0,20.0,4.923076923076923
Sonic,Sonic Burger W/ Mayonnaise,740.0,430.0,48.0,15.0,2.0,110.0,760.0,44.0,2.0,7.0,31.0,6.0,8.0,20.0,4.1891891891891895
Sonic,Sonic Cheeseburger W/ Mustard,710.0,380.0,43.0,17.0,2.0,120.0,1120.0,43.0,2.0,7.0,35.0,10.0,8.0,30.0,4.929577464788732
Sonic,Sonic Cheeseburger W/ Ketchup,720.0,380.0,43.0,17.0,2.0,120.0,1190.0,47.0,2.0,10.0,35.0,15.0,10.0,30.0,4.861111111111112
Sonic,Sonic Cheeseburger W/ Mayonnaise,800.0,480.0,54.0,18.0,2.0,130.0,1090.0,44.0,2.0,7.0,35.0,10.0,8.0,30.0,4.375
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1280.0,830.0,92.0,36.0,4.0,260.0,1630.0,44.0,2.0,7.0,67.0,15.0,6.0,40.0,5.234375
Sonic,Super Sonic Double Cheeseburger W/ Mustard,1120.0,680.0,76.0,32.0,4.0,235.0,1550.0,44.0,2.0,8.0,63.0,15.0,8.0,40.0,5.625
Sonic,Super Sonic Double Cheeseburger W/ Ketchup,1130.0,680.0,76.0,32.0,4.0,235.0,1620.0,47.0,2.0,11.0,63.0,20.0,10.0,40.0,5.575221238938053
Sonic,Super Sonic Double Cheeseburger W/ Mayo,1220.0,780.0,87.0,34.0,4.0,245.0,1520.0,45.0,2.0,8.0,63.0,15.0,8.0,40.0,5.163934426229509
Sonic,Super Sonic Jalapeno Double Cheeseburger,1120.0,680.0,76.0,32.0,4.0,235.0,1690.0,43.0,2.0,7.0,63.0,15.0,2.0,40.0,5.625
Sonic,Veggie Burger W/ Ketchup,450.0,130.0,14.0,4.0,0.0,10.0,1410.0,67.0,5.0,11.0,15.0,6.0,8.0,25.0,3.3333333333333335
Sonic,Veggie Burger With Mustard,450.0,130.0,14.0,4.0,0.0,10.0,1350.0,64.0,5.0,8.0,15.0,6.0,8.0,27.0,3.3333333333333335
Sonic,Veggie Burger W/ Mustard,450.0,130.0,14.0,4.0,0.0,10.0,1300.0,64.0,5.0,8.0,15.0,6.0,8.0,25.0,3.3333333333333335
Sonic,Grilled Asiago Caesar Chicken Club Sandwich,610.0,270.0,30.0,7.0,0.0,110.0,1570.0,44.0,3.0,8.0,40.0,11.0,20.0,16.0,6.557377049180328
Sonic,Crispy Asiago Caesar Chicken Club Sandwich,680.0,350.0,39.0,9.0,0.0,80.0,1120.0,53.0,4.0,7.0,31.0,11.0,7.0,16.0,4.5588235294117645
Sonic,Grilled Chicken Sandwich,430.0,180.0,20.0,4.0,0.0,80.0,940.0,33.0,2.0,6.0,28.0,6.0,8.0,10.0,6.511627906976744
Sonic,Crispy Chicken Sandwich,570.0,300.0,33.0,5.0,0.0,45.0,1060.0,47.0,4.0,6.0,23.0,6.0,8.0,10.0,4.035087719298246
Sonic,Chicken Strip Sandwich,450.0,220.0,24.0,4.0,0.0,35.0,740.0,43.0,1.0,4.0,19.0,0.0,0.0,4.0,4.222222222222222
Sonic,3 Piece Crispy Chicken Tender Dinner,280.0,130.0,14.0,2.5,0.0,0.0,800.0,16.0,0.0,0.0,22.0,0.0,0.0,0.0,7.857142857142857
Sonic,5 Piece Crispy Chicken Tender Dinner,470.0,220.0,24.0,4.5,0.0,0.0,1340.0,26.0,0.0,0.0,37.0,0.0,0.0,0.0,7.872340425531915
Sonic,Deluxe Ultimate Chicken Sandwich,740.0,350.0,39.0,8.0,0.0,90.0,1550.0,63.0,4.0,12.0,33.0,10.0,8.0,15.0,4.45945945945946
Sonic,Buffalo Dunked Ultimate Chicken Sandwich,1000.0,550.0,61.0,12.0,0.5,125.0,4520.0,70.0,5.0,12.0,23.0,0.0,0.0,0.0,2.3
Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,1350.0,900.0,100.0,17.0,0.0,190.0,2180.0,69.0,4.0,10.0,23.0,0.0,0.0,0.0,1.7037037037037037
Sonic,Small Jumbo Popcorn Chicken,380.0,190.0,22.0,4.0,0.0,45.0,1250.0,27.0,3.0,1.0,18.0,0.0,0.0,2.0,4.736842105263158
Sonic,Large Jumbo Popcorn Chicken,560.0,290.0,32.0,6.0,1.0,65.0,1890.0,41.0,5.0,2.0,27.0,0.0,0.0,4.0,4.821428571428572
Sonic,Small Spicy Jumbo Popcorn Chicken,350.0,150.0,17.0,3.0,0.0,45.0,860.0,30.0,2.0,0.0,21.0,10.0,0.0,2.0,6.0
